239	11 (North_America Central_America West_indies South_America Antartica Madagascar Afro-Arabia Occidental_Palearctic Oriental_Palearctic East-Asian_Indomalayan Australian)
Lagonimico	00010000000
Mohanamico	00010000000
Neosaimiri	00010000000
Aotus_dindensis	00010000000
Cebupithecia	00010000000
Nuciruptor	00010000000
Proteropithecia	00010000000
Stirtonia	00010000000
Mazzonicebus	00010000000
Homunculus_Killikaike	00010000000
Soriacebus	00010000000
Carlocebus	00010000000
Dolichocebus	00010000000
Canaanimico	00010000000
Antillothrix_Insulacebus	00100000000
Paralouatta	00100000000
Perupithecus	00010000000
Ashaninkacebus	00010000000
Ucayalipithecus	00010000000
Aegyptopithecus	00000010000
Moeripithecus	00000010000
Oligopithecus	00000010000
Talahpithecus	00000010000
Amamria	00000010000
Biretia	00000010000
Serapia	00000010000
Qatrania	00000010000
Parapithecus	00000010000
Apidium	00000010000
Simonsius	00000010000
Myanmarpithecus	00000000010
Ganlea	00000000010
Pondaungia_Amphipithecus	00000000010
Bugtipithecus	00000000010
Phileosimias	00000000010
Eosimias	00000000010
Bahinia_pondaungensis	00000000010
Bahinia_banyueae	00000000010
Phenacopithecus	00000000010
Afrotarsius	00000010000
Afrasia	00000000010
Xanthorhysis	00000000010
Teilhardina	10000001100
Hemiacodon	10000000000
Tetonius	10000000000
Leptadapis	00000001000
Adapis	00000001000
Djebelemur	00000010000
Aotus_azarae	00010000000
Aotus_brumbacki	00010000000
Aotus_griseimembra	00010000000
Aotus_lemurinus	00010000000
Aotus_nancymaae	00010000000
Aotus_nigriceps	00010000000
Aotus_trivirgatus	00010000000
Aotus_vociferans	00010000000
Alouatta_belzebul	00010000000
Alouatta_caraya	00010000000
Alouatta_discolor	00010000000
Alouatta_guariba	00010000000
Alouatta_juara	00010000000
Alouatta_macconnelli	00010000000
Alouatta_nigerrima	00010000000
Alouatta_palliata	01010000000
Alouatta_pigra	01000000000
Alouatta_puruensis	00010000000
Alouatta_sara	00010000000
Alouatta_seniculus	00010000000
Alouatta_ululata	00010000000
Ateles_belzebuth	00010000000
Ateles_chamek	00010000000
Ateles_fusciceps	00010000000
Ateles_geoffroyi	01000000000
Ateles_hybridus	00010000000
Ateles_marginatus	00010000000
Ateles_paniscus	00010000000
Ateles_rufiventris	01010000000
Brachyteles_arachnoides	00010000000
Brachyteles_hypoxanthus	00010000000
Lagothrix_flavicauda	00010000000
Lagothrix_lagotricha	00010000000
Callibella_humilis	00010000000
Callimico_goeldii	00010000000
Callithrix_aurita	00010000000
Callithrix_geoffroyi	00010000000
Callithrix_jacchus	00010000000
Callithrix_kuhlii	00010000000
Callithrix_penicillata	00010000000
Cebuella_niveiventris	00010000000
Cebuella_pygmaea	00010000000
Leontocebus_cruzlimai	00010000000
Leontocebus_fuscicollis	00010000000
Leontocebus_fuscus	00010000000
Leontocebus_illigeri	00010000000
Leontocebus_lagonotus	00010000000
Leontocebus_leucogenys	00010000000
Leontocebus_melanoleucus	00010000000
Leontocebus_nigricollis	00010000000
