Model selection results for subset: 0a1438e4e45bb24b486a25e9dabd01d6
Subset alignment stored here: ./analysis/phylofiles/0a1438e4e45bb24b486a25e9dabd01d6.phy
This subset contains the following data_blocks: COI
Number of columns in subset: 1539
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -41619.844      | 83259.83         | 83259.69        | 83313.08       
HKY+I+G         | 6               | -41702.543      | 83417.14         | 83417.086       | 83449.12       
SYM+I+G         | 7               | -41843.023      | 83700.12         | 83700.05        | 83737.42       
GTR+G           | 9               | -41898.664      | 83815.445        | 83815.33        | 83863.375      
HKY+G           | 5               | -41964.19       | 83938.42         | 83938.38        | 83965.08       
SYM+G           | 6               | -42126.863      | 84265.78         | 84265.73        | 84297.76       
K80+I+G         | 3               | -42399.945      | 84805.91         | 84805.89        | 84821.91       
K80+G           | 2               | -42671.82       | 85347.65         | 85347.64        | 85358.32       
SYM+I           | 6               | -43601.855      | 87215.766        | 87215.71        | 87247.74       
GTR+I           | 9               | -43604.46       | 87227.04         | 87226.92        | 87274.97       
HKY+I           | 5               | -43906.57       | 87823.18         | 87823.14        | 87849.836      
K80+I           | 2               | -44641.58       | 89287.164        | 89287.16        | 89297.836      
F81+I+G         | 5               | -47884.266      | 95778.57         | 95778.53        | 95805.23       
F81+G           | 4               | -48150.52       | 96309.06         | 96309.04        | 96330.4        
JC+I+G          | 2               | -48554.965      | 97113.94         | 97113.93        | 97124.61       
JC+G            | 1               | -48816.61       | 97635.22         | 97635.22        | 97640.555      
F81+I           | 4               | -49933.867      | 99875.76         | 99875.734       | 99897.09       
JC+I            | 1               | -50457.53       | 100917.06        | 100917.06       | 100922.4       
SYM             | 5               | -50926.215      | 101862.47        | 101862.43       | 101889.125     
GTR             | 8               | -51043.55       | 102103.195       | 102103.1        | 102145.81      
HKY             | 4               | -51578.99       | 103166.0         | 103165.98       | 103187.336     
K80             | 1               | -52027.133      | 104056.266       | 104056.266      | 104061.6       
F81             | 3               | -57007.64       | 114021.3         | 114021.28       | 114037.3       
JC              | 0               | -57415.03       | 114830.06        | 114830.06       | 114830.06      
