Model selection results for subset: 0a4388aa4d744a485afabb49eff3ae07
Subset alignment stored here: ./analysis/phylofiles/0a4388aa4d744a485afabb49eff3ae07.phy
This subset contains the following data_blocks: CYTB, COII, COIII
Number of columns in subset: 2594
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -80532.66       | 161085.39        | 161085.31       | 161143.92      
HKY+I+G         | 6               | -80641.85       | 161295.73        | 161295.7        | 161330.88      
GTR+G           | 9               | -80910.336      | 161838.73        | 161838.67       | 161891.42      
HKY+G           | 5               | -81009.37       | 162028.75        | 162028.73       | 162058.05      
SYM+I+G         | 7               | -81253.945      | 162521.94        | 162521.89       | 162562.92      
SYM+G           | 6               | -81631.4        | 163274.83        | 163274.8        | 163309.97      
K80+I+G         | 3               | -82611.87       | 165229.75        | 165229.73       | 165247.31      
K80+G           | 2               | -82935.92       | 165875.84        | 165875.84       | 165887.56      
GTR+I           | 9               | -84988.34       | 169994.75        | 169994.69       | 170047.44      
SYM+I           | 6               | -85236.99       | 170486.02        | 170485.98       | 170521.16      
HKY+I           | 5               | -85392.15       | 170794.31        | 170794.3        | 170823.61      
K80+I           | 2               | -87330.98       | 174665.95        | 174665.95       | 174677.67      
F81+I+G         | 5               | -91856.73       | 183723.47        | 183723.45       | 183752.77      
F81+G           | 4               | -92204.6        | 184417.22        | 184417.2        | 184440.64      
JC+I+G          | 2               | -93373.55       | 186751.1         | 186751.1        | 186762.81      
JC+G            | 1               | -93713.49       | 187428.98        | 187428.98       | 187434.84      
SYM             | 5               | -94296.195      | 188602.4         | 188602.39       | 188631.7       
GTR             | 8               | -94680.77       | 189377.61        | 189377.55       | 189424.44      
HKY             | 4               | -95443.55       | 190895.11        | 190895.1        | 190918.53      
F81+I           | 4               | -96272.85       | 192553.72        | 192553.7        | 192577.14      
K80             | 1               | -96541.76       | 193085.52        | 193085.52       | 193091.38      
JC+I            | 1               | -97465.414      | 194932.83        | 194932.83       | 194938.69      
F81             | 3               | -105331.39      | 210668.8         | 210668.78       | 210686.36      
JC              | 0               | -106192.13      | 212384.27        | 212384.27       | 212384.27      
