Model selection results for subset: 5189fad29c5021e89d98eb05878d2fa3
Subset alignment stored here: ./analysis/phylofiles/5189fad29c5021e89d98eb05878d2fa3.phy
This subset contains the following data_blocks: NADH2
Number of columns in subset: 1051
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -36387.402      | 72795.016        | 72794.805       | 72844.38       
HKY+I+G         | 6               | -36404.395      | 72820.87         | 72820.79        | 72850.53       
GTR+G           | 9               | -36474.984      | 72968.14         | 72967.97        | 73012.586      
HKY+G           | 5               | -36491.953      | 72993.96         | 72993.91        | 73018.695      
SYM+I+G         | 7               | -37001.473      | 74017.055        | 74016.945       | 74051.65       
SYM+G           | 6               | -37086.477      | 74185.03         | 74184.95        | 74214.695      
K80+I+G         | 3               | -37958.227      | 75922.48         | 75922.45        | 75937.33       
K80+G           | 2               | -38048.855      | 76101.72         | 76101.71        | 76111.625      
GTR+I           | 9               | -38181.8        | 76381.77         | 76381.6         | 76426.22       
HKY+I           | 5               | -38235.906      | 76481.87         | 76481.81        | 76506.6        
SYM+I           | 6               | -38500.695      | 77013.47         | 77013.39        | 77043.13       
K80+I           | 2               | -39592.19       | 79188.39         | 79188.38        | 79198.3        
SYM             | 5               | -40624.094      | 81258.24         | 81258.19        | 81282.98       
GTR             | 8               | -40763.96       | 81544.06         | 81543.92        | 81583.58       
HKY             | 4               | -40899.137      | 81806.31         | 81806.27        | 81826.1        
F81+I+G         | 5               | -40982.184      | 81974.42         | 81974.37        | 81999.16       
F81+G           | 4               | -41082.64       | 82173.32         | 82173.28        | 82193.11       
JC+I+G          | 2               | -41488.207      | 82980.42         | 82980.414       | 82990.33       
JC+G            | 1               | -41591.676      | 83185.35         | 83185.35        | 83190.31       
K80             | 1               | -41752.367      | 83506.734        | 83506.734       | 83511.695      
F81+I           | 4               | -42503.3        | 85014.64         | 85014.6         | 85034.43       
JC+I            | 1               | -42926.88       | 85855.76         | 85855.76        | 85860.72       
F81             | 3               | -44737.582      | 89481.19         | 89481.164       | 89496.04       
JC              | 0               | -44982.574      | 89965.15         | 89965.15        | 89965.15       
