Model selection results for subset: 91a49f7a89305efe7affde66260deeff
Subset alignment stored here: ./analysis/phylofiles/91a49f7a89305efe7affde66260deeff.phy
This subset contains the following data_blocks: ABCA1, FES
Number of columns in subset: 1421
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
SYM+G           | 6               | -11783.161      | 23578.38         | 23578.322       | 23609.877      
SYM+I+G         | 7               | -11783.157      | 23580.395        | 23580.314       | 23617.129      
GTR+G           | 9               | -11786.113      | 23590.354        | 23590.227       | 23637.559      
GTR+I+G         | 10              | -11786.172      | 23592.5          | 23592.344       | 23644.936      
K80+G           | 2               | -11795.3125     | 23594.633        | 23594.625       | 23605.143      
K80+I+G         | 3               | -11795.305      | 23596.627        | 23596.61        | 23612.387      
HKY+G           | 5               | -11798.842      | 23607.727        | 23607.684       | 23633.979      
HKY+I+G         | 6               | -11798.834      | 23609.727        | 23609.668       | 23641.223      
SYM+I           | 6               | -11821.173      | 23654.404        | 23654.346       | 23685.9        
GTR+I           | 9               | -11825.049      | 23668.225        | 23668.098       | 23715.43       
K80+I           | 2               | -11834.491      | 23672.99         | 23672.982       | 23683.5        
HKY+I           | 5               | -11839.358      | 23688.76         | 23688.717       | 23715.012      
SYM             | 5               | -11904.136      | 23818.314        | 23818.271       | 23844.566      
GTR             | 8               | -11907.379      | 23830.86         | 23830.758       | 23872.83       
K80             | 1               | -11919.189      | 23840.38         | 23840.379       | 23845.639      
HKY             | 4               | -11924.007      | 23856.041        | 23856.014       | 23877.05       
JC+G            | 1               | -12228.303      | 24458.607        | 24458.605       | 24463.865      
JC+I+G          | 2               | -12228.3        | 24460.607        | 24460.6         | 24471.117      
F81+G           | 4               | -12235.689      | 24479.406        | 24479.379       | 24500.416      
F81+I+G         | 5               | -12235.685      | 24481.412        | 24481.37        | 24507.664      
JC+I            | 1               | -12266.36       | 24534.723        | 24534.72        | 24539.98       
F81+I           | 4               | -12273.903      | 24555.834        | 24555.807       | 24576.844      
JC              | 0               | -12348.648      | 24697.297        | 24697.297       | 24697.297      
F81             | 3               | -12355.613      | 24717.244        | 24717.227       | 24733.004      
