Model selection results for subset: a5490fa68e0522c4c33a24bb2b1ecb74
Subset alignment stored here: ./analysis/phylofiles/a5490fa68e0522c4c33a24bb2b1ecb74.phy
This subset contains the following data_blocks: SIM1, MAPKAP1
Number of columns in subset: 1284
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -4703.369       | 9424.88          | 9424.738        | 9471.158       
GTR+I+G         | 10              | -4702.9907      | 9426.154         | 9425.981        | 9477.559       
GTR+I           | 9               | -4706.118       | 9430.378         | 9430.236        | 9476.656       
HKY+G           | 5               | -4718.2886      | 9446.624         | 9446.577        | 9472.366       
HKY+I+G         | 6               | -4717.8516      | 9447.769         | 9447.703        | 9478.649       
HKY+I           | 5               | -4721.002       | 9452.051         | 9452.004        | 9477.793       
SYM+G           | 6               | -4733.258       | 9478.581         | 9478.516        | 9509.462       
SYM+I+G         | 7               | -4732.7925      | 9479.673         | 9479.585        | 9515.689       
K80+G           | 2               | -4738.8164      | 9481.643         | 9481.633        | 9491.948       
K80+I+G         | 3               | -4738.2646      | 9482.548         | 9482.529        | 9498.003       
SYM+I           | 6               | -4736.0723      | 9484.21          | 9484.145        | 9515.091       
K80+I           | 2               | -4741.7446      | 9487.499         | 9487.489        | 9497.805       
GTR             | 8               | -4759.185       | 9534.483         | 9534.37         | 9575.632       
HKY             | 4               | -4774.353       | 9556.737         | 9556.706        | 9577.337       
SYM             | 5               | -4789.5596      | 9589.166         | 9589.119        | 9614.908       
K80             | 1               | -4797.104       | 9596.211         | 9596.208        | 9601.366       
F81+G           | 4               | -4809.8647      | 9627.761         | 9627.7295       | 9648.36        
F81+I+G         | 5               | -4809.4033      | 9628.854         | 9628.807        | 9654.596       
F81+I           | 4               | -4812.647       | 9633.325         | 9633.294        | 9653.925       
JC+G            | 1               | -4824.651       | 9651.305         | 9651.302        | 9656.46        
JC+I+G          | 2               | -4824.121       | 9652.252         | 9652.242        | 9662.558       
JC+I            | 1               | -4827.572       | 9657.146         | 9657.144        | 9662.302       
F81             | 3               | -4866.1997      | 9738.418         | 9738.399        | 9753.873       
JC              | 0               | -4882.5127      | 9765.025         | 9765.025        | 9765.025       
