Model selection results for subset: ae3bbd76694c514d76aa9cc505c74b2a
Subset alignment stored here: ./analysis/phylofiles/ae3bbd76694c514d76aa9cc505c74b2a.phy
This subset contains the following data_blocks: RAG1
Number of columns in subset: 1077
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -6278.352       | 12576.91         | 12576.704       | 12626.523      
SYM+I+G         | 7               | -6281.5225      | 12577.149        | 12577.045       | 12611.919      
K80+I+G         | 3               | -6292.4453      | 12590.913        | 12590.891       | 12605.837      
GTR+G           | 9               | -6287.8467      | 12593.862        | 12593.693       | 12638.531      
SYM+G           | 6               | -6291.2236      | 12594.525        | 12594.447       | 12624.339      
HKY+I+G         | 6               | -6295.462       | 12603.002        | 12602.924       | 12632.815      
K80+G           | 2               | -6302.792       | 12609.595        | 12609.584       | 12619.548      
HKY+G           | 5               | -6306.069       | 12622.193        | 12622.138       | 12647.048      
SYM+I           | 6               | -6325.355       | 12662.788        | 12662.71        | 12692.602      
GTR+I           | 9               | -6324.475       | 12667.119        | 12666.95        | 12711.788      
K80+I           | 2               | -6334.2974      | 12672.605        | 12672.595       | 12682.559      
HKY+I           | 5               | -6338.4897      | 12687.035        | 12686.9795      | 12711.89       
SYM             | 5               | -6571.0654      | 13152.187        | 13152.131       | 13177.041      
GTR             | 8               | -6569.371       | 13154.877        | 13154.742       | 13194.598      
K80             | 1               | -6585.1714      | 13172.347        | 13172.343       | 13177.325      
JC+I+G          | 2               | -6587.364       | 13178.738        | 13178.728       | 13188.691      
HKY             | 4               | -6591.6445      | 13191.326        | 13191.289       | 13211.217      
F81+I+G         | 5               | -6591.8643      | 13193.784        | 13193.729       | 13218.639      
JC+G            | 1               | -6597.217       | 13196.4375       | 13196.434       | 13201.416      
F81+G           | 4               | -6601.514       | 13211.065        | 13211.028       | 13230.956      
JC+I            | 1               | -6627.9155      | 13257.835        | 13257.831       | 13262.813      
F81+I           | 4               | -6632.789       | 13273.615        | 13273.578       | 13293.506      
JC              | 0               | -6875.101       | 13750.202        | 13750.202       | 13750.202      
F81             | 3               | -6878.6064      | 13763.235        | 13763.213       | 13778.159      
