Model selection results for subset: c0e1cfffda7350cb491f04c1b7e6b051
Subset alignment stored here: ./analysis/phylofiles/c0e1cfffda7350cb491f04c1b7e6b051.phy
This subset contains the following data_blocks: RPGRIP1
Number of columns in subset: 679
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
K80+G           | 2               | -3958.5488      | 7921.115         | 7921.0977       | 7930.1387      
K80+I+G         | 3               | -3958.108       | 7922.2515        | 7922.216        | 7935.778       
GTR+G           | 9               | -3952.8892      | 7924.0474        | 7923.7783       | 7964.464       
SYM+G           | 6               | -3956.6292      | 7925.3833        | 7925.2583       | 7952.382       
GTR+I+G         | 10              | -3952.5488      | 7925.427         | 7925.0977       | 7970.3037      
SYM+I+G         | 7               | -3956.2546      | 7926.6763        | 7926.5093       | 7958.154       
HKY+G           | 5               | -3960.775       | 7931.639         | 7931.55         | 7954.153       
HKY+I+G         | 6               | -3960.2764      | 7932.6777        | 7932.5527       | 7959.6763      
K80+I           | 2               | -3970.2834      | 7944.5845        | 7944.567        | 7953.608       
GTR+I           | 9               | -3964.8708      | 7948.0107        | 7947.7417       | 7988.4272      
SYM+I           | 6               | -3968.4202      | 7948.9653        | 7948.8403       | 7975.964       
HKY+I           | 5               | -3972.5212      | 7955.132         | 7955.0425       | 7977.6455      
K80             | 1               | -4017.7327      | 8037.471         | 8037.4653       | 8041.986       
GTR             | 8               | -4012.8745      | 8041.964         | 8041.749        | 8077.914       
SYM             | 5               | -4016.03        | 8042.1494        | 8042.06         | 8064.663       
HKY             | 4               | -4019.9685      | 8047.9966        | 8047.937        | 8066.0195      
F81+G           | 4               | -4147.138       | 8302.336         | 8302.276        | 8320.358       
F81+I+G         | 5               | -4146.7954      | 8303.68          | 8303.591        | 8326.194       
JC+G            | 1               | -4151.6685      | 8305.343         | 8305.337        | 8309.857       
JC+I+G          | 2               | -4151.292       | 8306.602         | 8306.584        | 8315.625       
F81+I           | 4               | -4158.5522      | 8325.164         | 8325.1045       | 8343.187       
JC+I            | 1               | -4163.023       | 8328.052         | 8328.046        | 8332.566       
F81             | 3               | -4204.895       | 8415.825         | 8415.79         | 8429.352       
JC              | 0               | -4209.097       | 8418.194         | 8418.194        | 8418.194       
