INFO     | 2025-03-18 14:23:20,890 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2025-03-18 14:23:20,895 | config     | Setting 'alignment' to 'mito.phy'
INFO     | 2025-03-18 14:23:20,895 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-03-18 14:23:20,895 | parser     | You set 'models' to: mrbayes
INFO     | 2025-03-18 14:23:20,926 | model_load | This analysis will use the following 24 models of molecular evolution
INFO     | 2025-03-18 14:23:20,926 | model_load | JC, K80, SYM, F81, HKY, GTR, JC+G, K80+G, SYM+G, F81+G, HKY+G, GTR+G, JC+I, K80+I, SYM+I, F81+I, HKY+I, GTR+I, JC+I+G, K80+I+G, SYM+I+G, F81+I+G, HKY+I+G, GTR+I+G
INFO     | 2025-03-18 14:23:20,927 | config     | Setting 'model_selection' to 'bic'
INFO     | 2025-03-18 14:23:20,935 | config     | Setting 'search' to 'greedy'
INFO     | 2025-03-18 14:23:20,935 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-03-18 14:23:20,935 | config     | Looking for alignment file './mito.phy'...
ERROR    | 2025-03-18 14:23:20,936 | util       | Failed to find file: './mito.phy'. Please check and try again.
ERROR    | 2025-03-18 14:23:20,936 | main       | Failed to run. See previous errors.
INFO     | 2025-03-18 14:24:07,618 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2025-03-18 14:24:07,623 | config     | Setting 'alignment' to 'sequence.phy'
INFO     | 2025-03-18 14:24:07,623 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-03-18 14:24:07,623 | parser     | You set 'models' to: mrbayes
INFO     | 2025-03-18 14:24:07,640 | model_load | This analysis will use the following 24 models of molecular evolution
INFO     | 2025-03-18 14:24:07,641 | model_load | JC, K80, SYM, F81, HKY, GTR, JC+G, K80+G, SYM+G, F81+G, HKY+G, GTR+G, JC+I, K80+I, SYM+I, F81+I, HKY+I, GTR+I, JC+I+G, K80+I+G, SYM+I+G, F81+I+G, HKY+I+G, GTR+I+G
INFO     | 2025-03-18 14:24:07,641 | config     | Setting 'model_selection' to 'bic'
INFO     | 2025-03-18 14:24:07,649 | config     | Setting 'search' to 'greedy'
INFO     | 2025-03-18 14:24:07,650 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-03-18 14:24:07,650 | config     | Looking for alignment file './sequence.phy'...
INFO     | 2025-03-18 14:24:07,656 | threadpool | Using 8 cpus
