Model selection results for subset: 0a1438e4e45bb24b486a25e9dabd01d6
Subset alignment stored here: ./analysis/phylofiles/0a1438e4e45bb24b486a25e9dabd01d6.phy
This subset contains the following data_blocks: COI
Number of columns in subset: 1539
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -41520.508      | 83061.16         | 83061.016       | 83114.41       
HKY+I+G         | 6               | -41611.43       | 83234.914        | 83234.86        | 83266.89       
SYM+I+G         | 7               | -41713.184      | 83440.44         | 83440.37        | 83477.74       
GTR+G           | 9               | -41802.875      | 83623.87         | 83623.75        | 83671.8        
HKY+G           | 5               | -41881.707      | 83773.45         | 83773.414       | 83800.11       
SYM+G           | 6               | -41990.875      | 83993.805        | 83993.75        | 84025.78       
K80+I+G         | 3               | -42289.043      | 84584.1          | 84584.086       | 84600.1        
K80+G           | 2               | -42571.363      | 85146.734        | 85146.73        | 85157.41       
SYM+I           | 6               | -43399.47       | 86810.99         | 86810.94        | 86842.97       
GTR+I           | 9               | -43406.977      | 86832.07         | 86831.95        | 86880.0        
HKY+I           | 5               | -43693.504      | 87397.05         | 87397.01        | 87423.7        
K80+I           | 2               | -44402.48       | 88808.97         | 88808.96        | 88819.64       
F81+I+G         | 5               | -47637.105      | 95284.25         | 95284.21        | 95310.91       
F81+G           | 4               | -47875.047      | 95758.12         | 95758.09        | 95779.45       
JC+I+G          | 2               | -48283.1        | 96570.21         | 96570.2         | 96580.88       
JC+G            | 1               | -48513.18       | 97028.36         | 97028.36        | 97033.695      
F81+I           | 4               | -49545.867      | 99099.76         | 99099.734       | 99121.09       
JC+I            | 1               | -50062.15       | 100126.3         | 100126.3        | 100131.63      
SYM             | 5               | -50504.7        | 101019.44        | 101019.4        | 101046.09      
GTR             | 8               | -50622.363      | 101260.82        | 101260.73       | 101303.44      
HKY             | 4               | -51149.137      | 102306.3         | 102306.27       | 102327.63      
K80             | 1               | -51591.605      | 103185.21        | 103185.21       | 103190.55      
F81             | 3               | -56519.438      | 113044.89        | 113044.875      | 113060.89      
JC              | 0               | -56926.332      | 113852.664       | 113852.664      | 113852.664     
