Model selection results for subset: 0a4388aa4d744a485afabb49eff3ae07
Subset alignment stored here: ./analysis/phylofiles/0a4388aa4d744a485afabb49eff3ae07.phy
This subset contains the following data_blocks: CYTB, COIII, COII
Number of columns in subset: 2594
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -80255.53       | 160531.14        | 160531.06       | 160589.67      
HKY+I+G         | 6               | -80375.68       | 160763.39        | 160763.36       | 160798.53      
GTR+G           | 9               | -80657.89       | 161333.84        | 161333.78       | 161386.53      
HKY+G           | 5               | -80770.0        | 161550.02        | 161550.0        | 161579.31      
SYM+I+G         | 7               | -80905.27       | 161824.6         | 161824.55       | 161865.58      
SYM+G           | 6               | -81295.195      | 162602.42        | 162602.39       | 162637.56      
K80+I+G         | 3               | -82283.38       | 164572.78        | 164572.77       | 164590.34      
K80+G           | 2               | -82632.484      | 165268.97        | 165268.97       | 165280.69      
GTR+I           | 9               | -84480.984      | 168980.03        | 168979.97       | 169032.72      
SYM+I           | 6               | -84702.79       | 169417.61        | 169417.58       | 169452.75      
HKY+I           | 5               | -84863.28       | 169736.58        | 169736.56       | 169765.88      
K80+I           | 2               | -86725.66       | 173455.31        | 173455.31       | 173467.03      
F81+I+G         | 5               | -91327.26       | 182664.53        | 182664.52       | 182693.83      
F81+G           | 4               | -91664.4        | 183336.81        | 183336.8        | 183360.23      
JC+I+G          | 2               | -92775.51       | 185555.02        | 185555.02       | 185566.73      
JC+G            | 1               | -93100.18       | 186202.36        | 186202.36       | 186208.22      
SYM             | 5               | -93490.445      | 186990.9         | 186990.89       | 187020.2       
GTR             | 8               | -93876.484      | 187769.03        | 187768.97       | 187815.86      
HKY             | 4               | -94620.81       | 189249.64        | 189249.62       | 189273.06      
F81+I           | 4               | -95476.63       | 190961.28        | 190961.27       | 190984.7       
K80             | 1               | -95701.19       | 191404.38        | 191404.38       | 191410.23      
JC+I            | 1               | -96645.0        | 193292.0         | 193292.0        | 193297.86      
F81             | 3               | -104398.03      | 208802.08        | 208802.06       | 208819.64      
JC              | 0               | -105253.65      | 210507.3         | 210507.3        | 210507.3       
