Model selection results for subset: 5189fad29c5021e89d98eb05878d2fa3
Subset alignment stored here: ./analysis/phylofiles/5189fad29c5021e89d98eb05878d2fa3.phy
This subset contains the following data_blocks: NADH2
Number of columns in subset: 1051
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -36362.504      | 72745.22         | 72745.01        | 72794.586      
HKY+I+G         | 6               | -36381.566      | 72775.21         | 72775.13        | 72804.875      
GTR+G           | 9               | -36458.664      | 72935.5          | 72935.33        | 72979.945      
HKY+G           | 5               | -36477.37       | 72964.8          | 72964.74        | 72989.53       
SYM+I+G         | 7               | -36899.348      | 73812.805        | 73812.695       | 73847.4        
SYM+G           | 6               | -36989.504      | 73991.086        | 73991.01        | 74020.75       
K80+I+G         | 3               | -37856.37       | 75718.766        | 75718.74        | 75733.62       
K80+G           | 2               | -37953.797      | 75911.6          | 75911.59        | 75921.51       
GTR+I           | 9               | -38042.426      | 76103.02         | 76102.85        | 76147.47       
HKY+I           | 5               | -38106.156      | 76222.37         | 76222.31        | 76247.1        
SYM+I           | 6               | -38316.01       | 76644.1          | 76644.02        | 76673.766      
K80+I           | 2               | -39384.035      | 78772.08         | 78772.07        | 78781.984      
SYM             | 5               | -40365.055      | 80740.164        | 80740.11        | 80764.9        
GTR             | 8               | -40525.617      | 81067.375        | 81067.234       | 81106.89       
HKY             | 4               | -40664.98       | 81338.0          | 81337.96        | 81357.79       
F81+I+G         | 5               | -40813.99       | 81638.03         | 81637.98        | 81662.766      
F81+G           | 4               | -40916.586      | 81841.21         | 81841.17        | 81861.0        
JC+I+G          | 2               | -41268.914      | 82541.836        | 82541.83        | 82551.74       
JC+G            | 1               | -41372.29       | 82746.58         | 82746.58        | 82751.54       
K80             | 1               | -41478.297      | 82958.59         | 82958.59        | 82963.555      
F81+I           | 4               | -42239.84       | 84487.72         | 84487.68        | 84507.51       
JC+I            | 1               | -42628.727      | 85259.45         | 85259.45        | 85264.414      
F81             | 3               | -44422.938      | 88851.9          | 88851.875       | 88866.75       
JC              | 0               | -44644.574      | 89289.15         | 89289.15        | 89289.15       
