Model selection results for subset: 00ba8bf6d604269d205c3b4f42e58197
Subset alignment stored here: ./analysis/phylofiles/00ba8bf6d604269d205c3b4f42e58197.phy
This subset contains the following data_blocks: ADORA3, FOXP1, ZFX, ERC2
Number of columns in subset: 2573
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -16242.856      | 32503.783        | 32503.713       | 32556.389      
GTR+I+G         | 10              | -16242.856      | 32505.799        | 32505.713       | 32564.24       
GTR+I           | 9               | -16301.027      | 32620.125        | 32620.055       | 32672.73       
HKY+G           | 5               | -16313.837      | 32637.697        | 32637.674       | 32666.938      
HKY+I+G         | 6               | -16313.884      | 32639.8          | 32639.768       | 32674.885      
SYM+G           | 6               | -16324.8125     | 32661.658        | 32661.625       | 32696.742      
SYM+I+G         | 7               | -16324.826      | 32663.695        | 32663.652       | 32704.623      
K80+G           | 2               | -16350.0625     | 32704.129        | 32704.125       | 32715.83       
K80+I+G         | 3               | -16350.277      | 32706.564        | 32706.555       | 32724.113      
HKY+I           | 5               | -16368.757      | 32747.537        | 32747.514       | 32776.777      
SYM+I           | 6               | -16377.49       | 32767.014        | 32766.98        | 32802.098      
K80+I           | 2               | -16403.215      | 32810.434        | 32810.43        | 32822.137      
GTR             | 8               | -16434.697      | 32885.45         | 32885.395       | 32932.22       
HKY             | 4               | -16500.729      | 33009.473        | 33009.457       | 33032.867      
SYM             | 5               | -16514.523      | 33039.07         | 33039.047       | 33068.312      
K80             | 1               | -16544.861      | 33091.723        | 33091.723       | 33097.574      
JC+G            | 1               | -16910.664      | 33823.33         | 33823.33        | 33829.18       
F81+G           | 4               | -16908.707      | 33825.43         | 33825.414       | 33848.824      
JC+I+G          | 2               | -16910.807      | 33825.617        | 33825.613       | 33837.32       
F81+I+G         | 5               | -16908.83       | 33827.684        | 33827.66        | 33856.926      
JC+I            | 1               | -16961.668      | 33925.336        | 33925.336       | 33931.188      
F81+I           | 4               | -16959.707      | 33927.43         | 33927.414       | 33950.824      
F81             | 3               | -17091.832      | 34189.67         | 34189.664       | 34207.223      
JC              | 0               | -17098.299      | 34196.598        | 34196.598       | 34196.598      
