Model selection results for subset: 3e8604d0d6fb3957a337d884e275ff8e
Subset alignment stored here: ./analysis/phylofiles/3e8604d0d6fb3957a337d884e275ff8e.phy
This subset contains the following data_blocks: RPGRIP1
Number of columns in subset: 679
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
K80+G           | 2               | -3890.9602      | 7785.938         | 7785.9204       | 7794.9614      
K80+I+G         | 3               | -3890.4124      | 7786.8604        | 7786.8247       | 7800.3867      
GTR+G           | 9               | -3885.2947      | 7788.8584        | 7788.5894       | 7829.275       
GTR+I+G         | 10              | -3884.8186      | 7789.9663        | 7789.637        | 7834.8433      
SYM+G           | 6               | -3889.0413      | 7790.2075        | 7790.0825       | 7817.206       
SYM+I+G         | 7               | -3888.5366      | 7791.24          | 7791.073        | 7822.718       
HKY+G           | 5               | -3893.1443      | 7796.378         | 7796.2886       | 7818.8916      
HKY+I+G         | 6               | -3892.5374      | 7797.1997        | 7797.0747       | 7824.198       
K80+I           | 2               | -3903.8184      | 7811.6543        | 7811.6367       | 7820.6777      
GTR+I           | 9               | -3898.415       | 7815.099         | 7814.83         | 7855.5156      
SYM+I           | 6               | -3901.9685      | 7816.062         | 7815.937        | 7843.0605      
HKY+I           | 5               | -3906.072       | 7822.2334        | 7822.144        | 7844.747       
K80             | 1               | -3950.997       | 7904.0           | 7903.994        | 7908.5146      
GTR             | 8               | -3946.1362      | 7908.4873        | 7908.2725       | 7944.4375      
SYM             | 5               | -3949.291       | 7908.6714        | 7908.582        | 7931.185       
HKY             | 4               | -3953.2974      | 7914.6543        | 7914.5947       | 7932.6772      
F81+G           | 4               | -4077.8853      | 8163.83          | 8163.7705       | 8181.853       
F81+I+G         | 5               | -4077.4404      | 8164.97          | 8164.881        | 8187.484       
JC+G            | 1               | -4082.2449      | 8166.4956        | 8166.4897       | 8171.0103      
JC+I+G          | 2               | -4081.7812      | 8167.58          | 8167.5625       | 8176.6035      
F81+I           | 4               | -4090.2134      | 8188.4863        | 8188.427        | 8206.509       
JC+I            | 1               | -4094.5115      | 8191.029         | 8191.023        | 8195.544       
F81             | 3               | -4135.603       | 8277.241         | 8277.206        | 8290.768       
JC              | 0               | -4139.6074      | 8279.215         | 8279.215        | 8279.215       
