Model selection results for subset: 7327108a8010baacc0d7f3a50b0bfa01
Subset alignment stored here: ./analysis/phylofiles/7327108a8010baacc0d7f3a50b0bfa01.phy
This subset contains the following data_blocks: MAPKAP1, SIM1
Number of columns in subset: 1284
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -4664.3345      | 9346.811         | 9346.669        | 9393.089       
GTR+I+G         | 10              | -4663.9683      | 9348.109         | 9347.937        | 9399.514       
GTR+I           | 9               | -4666.999       | 9352.14          | 9351.998        | 9398.418       
HKY+G           | 5               | -4678.0625      | 9366.172         | 9366.125        | 9391.914       
HKY+I+G         | 6               | -4677.6465      | 9367.358         | 9367.293        | 9398.239       
HKY+I           | 5               | -4680.6743      | 9371.3955        | 9371.349        | 9397.138       
SYM+G           | 6               | -4694.5728      | 9401.211         | 9401.1455       | 9432.092       
SYM+I+G         | 7               | -4694.1177      | 9402.323         | 9402.235        | 9438.34        
K80+G           | 2               | -4699.6104      | 9403.23          | 9403.221        | 9413.536       
K80+I+G         | 3               | -4699.066       | 9404.15          | 9404.132        | 9419.605       
SYM+I           | 6               | -4697.318       | 9406.701         | 9406.636        | 9437.582       
K80+I           | 2               | -4702.4165      | 9408.843         | 9408.833        | 9419.148       
GTR             | 8               | -4716.185       | 9448.483         | 9448.37         | 9489.632       
HKY             | 4               | -4730.1         | 9468.231         | 9468.2          | 9488.831       
SYM             | 5               | -4746.9893      | 9504.025         | 9503.979        | 9529.768       
K80             | 1               | -4753.757       | 9509.517         | 9509.514        | 9514.672       
F81+G           | 4               | -4769.2236      | 9546.479         | 9546.447        | 9567.078       
F81+I+G         | 5               | -4768.7812      | 9547.609         | 9547.5625       | 9573.352       
F81+I           | 4               | -4771.888       | 9551.808         | 9551.776        | 9572.407       
JC+G            | 1               | -4785.056       | 9572.115         | 9572.112        | 9577.2705      
JC+I+G          | 2               | -4784.536       | 9573.082         | 9573.072        | 9583.388       
JC+I            | 1               | -4787.8477      | 9577.698         | 9577.695        | 9582.854       
F81             | 3               | -4821.27        | 9648.559         | 9648.54         | 9664.014       
JC              | 0               | -4838.5557      | 9677.111         | 9677.111        | 9677.111       
