Model selection results for subset: 834e0bf139831093b26e00bb28312d19
Subset alignment stored here: ./analysis/phylofiles/834e0bf139831093b26e00bb28312d19.phy
This subset contains the following data_blocks: FES, ABCA1
Number of columns in subset: 1421
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
SYM+G           | 6               | -11238.047      | 22488.152        | 22488.094       | 22519.648      
SYM+I+G         | 7               | -11238.042      | 22490.164        | 22490.084       | 22526.898      
GTR+G           | 9               | -11239.8955     | 22497.918        | 22497.791       | 22545.123      
GTR+I+G         | 10              | -11239.926      | 22500.008        | 22499.852       | 22552.443      
K80+G           | 2               | -11249.377      | 22502.762        | 22502.754       | 22513.271      
K80+I+G         | 3               | -11249.377      | 22504.771        | 22504.754       | 22520.531      
HKY+G           | 5               | -11252.031      | 22514.105        | 22514.062       | 22540.357      
HKY+I+G         | 6               | -11252.037      | 22516.133        | 22516.074       | 22547.629      
SYM+I           | 6               | -11272.175      | 22556.408        | 22556.35        | 22587.904      
GTR+I           | 9               | -11275.033      | 22568.193        | 22568.066       | 22615.398      
K80+I           | 2               | -11284.822      | 22573.652        | 22573.645       | 22584.162      
HKY+I           | 5               | -11288.949      | 22587.941        | 22587.898       | 22614.193      
SYM             | 5               | -11351.57       | 22713.184        | 22713.14        | 22739.436      
GTR             | 8               | -11353.993      | 22724.088        | 22723.986       | 22766.059      
K80             | 1               | -11366.026      | 22734.055        | 22734.053       | 22739.312      
HKY             | 4               | -11370.216      | 22748.459        | 22748.432       | 22769.469      
JC+G            | 1               | -11675.775      | 23353.553        | 23353.55        | 23358.81       
JC+I+G          | 2               | -11675.772      | 23355.553        | 23355.545       | 23366.062      
F81+G           | 4               | -11682.786      | 23373.6          | 23373.572       | 23394.61       
F81+I+G         | 5               | -11682.778      | 23375.6          | 23375.557       | 23401.852      
JC+I            | 1               | -11709.733      | 23421.469        | 23421.467       | 23426.727      
F81+I           | 4               | -11716.891      | 23441.809        | 23441.781       | 23462.818      
JC              | 0               | -11787.472      | 23574.943        | 23574.943       | 23574.943      
F81             | 3               | -11794.085      | 23594.188        | 23594.17        | 23609.947      
