Model selection results for subset: eeea1e6f0afa080dceac3c5244f2893e
Subset alignment stored here: ./analysis/phylofiles/eeea1e6f0afa080dceac3c5244f2893e.phy
This subset contains the following data_blocks: RAG1
Number of columns in subset: 1077
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
SYM+I+G         | 7               | -6114.37        | 12242.845        | 12242.74        | 12277.614      
GTR+I+G         | 10              | -6112.0073      | 12244.221        | 12244.015       | 12293.834      
K80+I+G         | 3               | -6124.865       | 12255.753        | 12255.73        | 12270.677      
SYM+G           | 6               | -6125.2847      | 12262.647        | 12262.569       | 12292.461      
GTR+G           | 9               | -6122.699       | 12263.567        | 12263.398       | 12308.236      
HKY+I+G         | 6               | -6128.222       | 12268.522        | 12268.444       | 12298.336      
K80+G           | 2               | -6136.379       | 12276.769        | 12276.758       | 12286.722      
HKY+G           | 5               | -6140.0303      | 12290.116        | 12290.061       | 12314.971      
SYM+I           | 6               | -6159.91        | 12331.898        | 12331.82        | 12361.712      
GTR+I           | 9               | -6159.843       | 12337.8545       | 12337.686       | 12382.523      
K80+I           | 2               | -6168.612       | 12341.234        | 12341.224       | 12351.1875     
HKY+I           | 5               | -6173.198       | 12356.452        | 12356.396       | 12381.307      
SYM             | 5               | -6408.3237      | 12826.703        | 12826.647       | 12851.558      
GTR             | 8               | -6407.09        | 12830.314        | 12830.18        | 12870.035      
K80             | 1               | -6422.4634      | 12846.931        | 12846.927       | 12851.909      
JC+I+G          | 2               | -6422.731       | 12849.473        | 12849.462       | 12859.426      
F81+I+G         | 5               | -6427.3857      | 12864.827        | 12864.771       | 12889.682      
HKY             | 4               | -6429.087       | 12866.211        | 12866.174       | 12886.102      
JC+G            | 1               | -6433.456       | 12868.916        | 12868.912       | 12873.895      
F81+G           | 4               | -6437.924       | 12883.885        | 12883.848       | 12903.775      
JC+I            | 1               | -6464.682       | 12931.368        | 12931.364       | 12936.347      
F81+I           | 4               | -6469.7383      | 12947.514        | 12947.477       | 12967.404      
JC              | 0               | -6713.026       | 13426.052        | 13426.052       | 13426.052      
F81             | 3               | -6716.5757      | 13439.174        | 13439.151       | 13454.098      
