INFO     | 2025-03-18 18:37:16,928 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2025-03-18 18:37:16,932 | config     | Setting 'alignment' to 'nuclear.phy'
INFO     | 2025-03-18 18:37:16,932 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2025-03-18 18:37:16,932 | parser     | You set 'models' to: mrbayes
INFO     | 2025-03-18 18:37:16,947 | model_load | This analysis will use the following 24 models of molecular evolution
INFO     | 2025-03-18 18:37:16,947 | model_load | JC, K80, SYM, F81, HKY, GTR, JC+G, K80+G, SYM+G, F81+G, HKY+G, GTR+G, JC+I, K80+I, SYM+I, F81+I, HKY+I, GTR+I, JC+I+G, K80+I+G, SYM+I+G, F81+I+G, HKY+I+G, GTR+I+G
INFO     | 2025-03-18 18:37:16,947 | config     | Setting 'model_selection' to 'bic'
INFO     | 2025-03-18 18:37:16,951 | config     | Setting 'search' to 'greedy'
INFO     | 2025-03-18 18:37:16,951 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-03-18 18:37:16,951 | config     | Looking for alignment file './nuclear.phy'...
INFO     | 2025-03-18 18:37:16,951 | analysis   | Beginning Analysis
INFO     | 2025-03-18 18:37:16,961 | alignment  | Reading alignment file './nuclear.phy'
INFO     | 2025-03-18 18:37:16,989 | analysis   | Starting tree will be estimated from the data.
INFO     | 2025-03-18 18:37:16,990 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2025-03-18 18:37:16,990 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2025-03-18 18:37:26,299 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2025-03-18 18:37:30,761 | raxml      | ML topology estimation finished
INFO     | 2025-03-18 18:37:30,762 | analysis_m | Performing Greedy Analysis
INFO     | 2025-03-18 18:37:30,762 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2025-03-18 18:38:03,469 | progress   |       Finished subset 1/10, 10.00 percent done
INFO     | 2025-03-18 18:38:36,300 | progress   |       Finished subset 2/10, 20.00 percent done
INFO     | 2025-03-18 18:38:47,507 | progress   |       Finished subset 3/10, 30.00 percent done
INFO     | 2025-03-18 18:38:51,265 | progress   |       Finished subset 4/10, 40.00 percent done
INFO     | 2025-03-18 18:38:59,350 | progress   |       Finished subset 5/10, 50.00 percent done
INFO     | 2025-03-18 18:39:01,458 | progress   |       Finished subset 6/10, 60.00 percent done
INFO     | 2025-03-18 18:39:11,792 | progress   |       Finished subset 7/10, 70.00 percent done
INFO     | 2025-03-18 18:39:34,283 | progress   |       Finished subset 8/10, 80.00 percent done
INFO     | 2025-03-18 18:39:36,526 | progress   |       Finished subset 9/10, 90.00 percent done
INFO     | 2025-03-18 18:39:57,789 | progress   |       Finished subset 10/10, 100.00 percent done
INFO     | 2025-03-18 18:39:57,793 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2025-03-18 18:39:57,794 | analysis_m |       Analysing 45 new subset pairs
INFO     | 2025-03-18 18:41:05,303 | progress   |       Finished subset 1/45, 2.22 percent done
INFO     | 2025-03-18 18:41:17,046 | progress   |       Finished subset 2/45, 4.44 percent done
INFO     | 2025-03-18 18:42:03,764 | progress   |       Finished subset 3/45, 6.67 percent done
INFO     | 2025-03-18 18:42:08,596 | progress   |       Finished subset 4/45, 8.89 percent done
