Taxa	North America	Central America	West indies	South America	Antartica	Madagascar	Afro Arabia	West Palearctic	East Palearctic	East Asian Indomalayan	Australian
Lagonimico	0	0	0	1	0	0	0	0	0	0	0
Mohanamico	0	0	0	1	0	0	0	0	0	0	0
Acrecebus	0	0	0	1	0	0	0	0	0	0	0
Panamacebus	0	1	0	0	0	0	0	0	0	0	0
Neosaimiri	0	0	0	1	0	0	0	0	0	0	0
Aotus_dindensis	0	0	0	1	0	0	0	0	0	0	0
Cebupithecia	0	0	0	1	0	0	0	0	0	0	0
Nuciruptor	0	0	0	1	0	0	0	0	0	0	0
Proteropithecia	0	0	0	1	0	0	0	0	0	0	0
Stirtonia	0	0	0	1	0	0	0	0	0	0	0
Chilecebus	0	0	0	1	0	0	0	0	0	0	0
Mazzonicebus	0	0	0	1	0	0	0	0	0	0	0
Homunculus_Killikaike	0	0	0	1	0	0	0	0	0	0	0
Soriacebus	0	0	0	1	0	0	0	0	0	0	0
Carlocebus	0	0	0	1	0	0	0	0	0	0	0
Dolichocebus	0	0	0	1	0	0	0	0	0	0	0
Tremacebus	0	0	0	1	0	0	0	0	0	0	0
Canaanimico	0	0	0	1	0	0	0	0	0	0	0
Branisella	0	0	0	1	0	0	0	0	0	0	0
Antillothrix_Insulacebus	0	0	1	0	0	0	0	0	0	0	0
Paralouatta	0	0	1	0	0	0	0	0	0	0	0
Parvimico	0	0	0	1	0	0	0	0	0	0	0
Perupithecus	0	0	0	1	0	0	0	0	0	0	0
Ashaninkacebus	0	0	0	1	0	0	0	0	0	0	0
Ucayalipithecus	0	0	0	1	0	0	0	0	0	0	0
Aegyptopithecus	0	0	0	0	0	0	1	0	0	0	0
Moeripithecus	0	0	0	0	0	0	1	0	0	0	0
Catopithecus	0	0	0	0	0	0	1	0	0	0	0
Oligopithecus	0	0	0	0	0	0	1	0	0	0	0
Talahpithecus	0	0	0	0	0	0	1	0	0	0	0
Amamria	0	0	0	0	0	0	1	0	0	0	0
Proteopithecus	0	0	0	0	0	0	1	0	0	0	0
Biretia	0	0	0	0	0	0	1	0	0	0	0
Arsinoea	0	0	0	0	0	0	1	0	0	0	0
Serapia	0	0	0	0	0	0	1	0	0	0	0
Qatrania	0	0	0	0	0	0	1	0	0	0	0
Parapithecus	0	0	0	0	0	0	1	0	0	0	0
Apidium	0	0	0	0	0	0	1	0	0	0	0
Simonsius	0	0	0	0	0	0	1	0	0	0	0
Myanmarpithecus	0	0	0	0	0	0	0	0	0	1	0
Ganlea	0	0	0	0	0	0	0	0	0	1	0
Pondaungia_Amphipithecus	0	0	0	0	0	0	0	0	0	1	0
Siamopithecus	0	0	0	0	0	0	0	0	0	1	0
Bugtipithecus	0	0	0	0	0	0	0	0	0	1	0
Phileosimias	0	0	0	0	0	0	0	0	0	1	0
Eosimias	0	0	0	0	0	0	0	0	0	1	0
Bahinia_pondaungensis	0	0	0	0	0	0	0	0	0	1	0
Bahinia_banyueae	0	0	0	0	0	0	0	0	0	1	0
