A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.5	0.1	0.25	0.5	0.5	0.75	0.5	0.25
0.75	1	0.1	0.75	0.1	0.1	0.25	0.25	0.5	0.25	0.1
0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.5	0.75	0.1	1	0.1	0.1	0.1	0.1	0.25	0.1	0.1
0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1
0.25	0.1	0.1	0.1	0.1	1	0.75	0.5	0.5	0.5	0.25
0.5	0.25	0.1	0.1	0.1	0.75	1	0.75	0.75	0.75	0.5
0.5	0.25	0.1	0.1	0.1	0.5	0.75	1	0.75	0.5	0.25
0.75	0.5	0.1	0.25	0.1	0.5	0.75	0.75	1	0.75	0.5
0.5	0.25	0.1	0.1	0.1	0.5	0.75	0.5	0.75	1	0.75
0.25	0.1	0.1	0.1	0.1	0.25	0.5	0.25	0.5	0.75	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.1	0.1	0.25	0.5	0.5	0.75	0.5	0.25
0.75	1	0.1	0.1	0.1	0.1	0.25	0.25	0.5	0.25	0.1
0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1
0.25	0.1	0.1	0.1	0.1	1	0.75	0.5	0.5	0.5	0.25
0.5	0.25	0.1	0.1	0.1	0.75	1	0.75	0.75	0.75	0.5
0.5	0.25	0.1	0.1	0.1	0.5	0.75	1	0.75	0.5	0.25
0.75	0.5	0.1	0.1	0.1	0.5	0.75	0.75	1	0.75	0.5
0.5	0.25	0.1	0.1	0.1	0.5	0.75	0.5	0.75	1	0.75
0.25	0.1	0.1	0.1	0.1	0.25	0.5	0.25	0.5	0.75	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.1	0.1	0.1	0.1	0.5	0.75	0.5	0.25
0.75	1	0.1	0.1	0.1	0.1	0.1	0.25	0.5	0.25	0.1
0.1	0.1	1	0.75	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.75	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1
0.5	0.25	0.1	0.1	0.1	0.1	0.1	1	0.75	0.5	0.25
0.75	0.5	0.1	0.1	0.1	0.1	0.1	0.75	1	0.75	0.5
0.5	0.25	0.1	0.1	0.1	0.1	0.1	0.5	0.75	1	0.75
0.25	0.1	0.1	0.1	0.1	0.1	0.1	0.25	0.5	0.75	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.1	0.1	0.1	0.1	0.5	0.75	0.5	0.25
0.75	1	0.1	0.1	0.1	0.1	0.1	0.25	0.5	0.25	0.1
0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1
0.5	0.25	0.1	0.1	0.1	0.1	0.1	1	0.75	0.5	0.25
0.75	0.5	0.1	0.1	0.1	0.1	0.1	0.75	1	0.75	0.5
0.5	0.25	0.1	0.1	0.1	0.1	0.1	0.5	0.75	1	0.75
0.25	0.1	0.1	0.1	0.1	0.1	0.1	0.25	0.5	0.75	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.1	0.1	0.1	0.1	0.1	0.75	0.5	0.1
0.75	1	0.1	0.1	0.1	0.1	0.1	0.1	0.5	0.25	0.1
0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1
0.75	0.5	0.1	0.1	0.1	0.1	0.1	0.1	1	0.75	0.1
0.5	0.25	0.1	0.1	0.1	0.1	0.1	0.1	0.75	1	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.1	0.1	0.1	0.1	0.1	0.75	0.5	0.1
0.75	1	0.1	0.1	0.1	0.1	0.1	0.1	0.5	0.25	0.1
0.1	0.1	1	0.75	0.5	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.75	1	0.75	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.5	0.75	1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1
0.75	0.5	0.1	0.1	0.1	0.1	0.1	0.1	1	0.75	0.1
0.5	0.25	0.1	0.1	0.1	0.1	0.1	0.1	0.75	1	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.1	0.1	0.1	0.1	0.1	0.75	0.5	0.1
0.75	1	0.1	0.1	0.1	0.1	0.1	0.1	0.5	0.25	0.1
0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1
0.75	0.5	0.1	0.1	0.1	0.1	0.1	0.1	1	0.75	0.1
0.5	0.25	0.1	0.1	0.1	0.1	0.1	0.1	0.75	1	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.75	0.1	0.1	0.1	0.1	0.1	0.75	0.75	0.5	0.1
0.75	1	0.1	0.1	0.1	0.1	0.1	0.5	0.5	0.25	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	1	0.75	0.1	0.1	0.1	0.1
0.1	0.1	0.1	0.1	0.1	0.75	1	0.1	0.1	0.1	0.1
0.75	0.5	0.1	0.1	0.1	0.1	0.1	1	0.5	0.25	0.1
0.75	0.5	0.1	0.1	0.1	0.1	0.1	0.5	1	0.75	0.1
0.5	0.25	0.1	0.1	0.1	0.1	0.1	0.25	0.75	1	0.1
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1
 	 	 	 	 	 	 	 	 	 	 
END	 	 	 	 	 	 	 	 	 	 
