Genus	Species	Subspecies
Cebuella	pygmaea	
Cebuella	niveiventris	
Callibella	humilis	
Mico	argentatus	
Mico	leucippe	
Mico	emiliae	
Mico	munduruku	
Mico	schneideri	
Mico	humeralifer	
Mico	chrysoleucos	
Mico	mauesi	
Mico	saterei	
Mico	acariensis	
Mico	nigriceps	
Mico	marcai	
Mico	intermedius	
Mico	melanurus	
Mico	rondoni	
Callimico	goeldii	
Callithrix	jacchus	
Callithrix	penicillata	
Callithrix	kuhlii	
Callithrix	geoffroyi	
Callithrix	flaviceps	
Callithrix	aurita	
Leontocebus	nigricollis	nigricollis
Leontocebus	nigricollis	graellsi
Leontocebus	nigricollis	hernandezi
Leontocebus	fuscus	
Leontocebus	tripartitus	
Leontocebus	lagonotus	
Leontocebus	leucogenys	
Leontocebus	illigeri	
Leontocebus	nigrifrons	
Leontocebus	fuscicollis	
Leontocebus	cruzlimai	
Leontocebus	avilapiresi	
Leontocebus	mura	
Leontocebus	primitivus	
Leontocebus	weddelli	
Leontocebus	melanoleucus	
Tamarinus	mystax	
Tamarinus	pileatus	pileatus
Tamarinus	pileatus	pluto
Tamarinus	kulina	
Tamarinus	labiatus	labiatus
Tamarinus	labiatus	rufiventer
Tamarinus	thomasi	
Tamarinus	imperator	
Tamarinus	subgrisescens	
Tamarinus	inustus	
Saguinus	midas	
Saguinus	niger	
Saguinus	ursula	
Saguinus	bicolor	
Saguinus	martinsi	martinsi
Saguinus	martinsi	ochraceus
Oedipomidas	leucopus	
Oedipomidas	oedipus	
Oedipomidas	geoffroyi	
Leontopithecus	rosalia	
Leontopithecus	chrysomelas	
Leontopithecus	chrysopygus	
Leontopithecus	caissara	
Saimiri	oerstedii	oerstedii
Saimiri	oerstedii	citrinellus
Saimiri	cassiquiarensis	
Saimiri	albigena	
Saimiri	macrodon	
Saimiri	ustus	
Saimiri	sciureus	
Saimiri	collinsi	
Saimiri	boliviensis	boliviensis
Saimiri	boliviensis	peruviensis
Saimiri	vanzolinii	
Sapajus	nigritus	
Sapajus	cucullatus	
Sapajus	cay	
Sapajus	robustus	
Sapajus	libidinosus	
Sapajus	xanthosternos	
Sapajus	flavius	
Sapajus	apella	apella
Sapajus	apella	margaritae
Sapajus	macrocephalus	
Cebus	yuracus	
Cebus	cuscinus	
Cebus	unicolor	
Cebus	albifrons	
Cebus	olivaceus	
Cebus	castaneus	
Cebus	kaapori	
Cebus	leucocephalus	
Cebus	versicolor	
Cebus	cesarae	
Cebus	malitiosus	
Cebus	trinitatis	
Cebus	aequatorialis	
Cebus	capucinus	capucinus
Cebus	capucinus	curtus
Cebus	imitator	
Aotus	zonalis	
