Model selection results for subset: 7711f8a25ad05d08c1d1279dec8e39b3
Subset alignment stored here: ./analysis/phylofiles/7711f8a25ad05d08c1d1279dec8e39b3.phy
This subset contains the following data_blocks: ADORA3, FOXP1, ERC2, ZFX
Number of columns in subset: 2573
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -16597.342      | 33212.754        | 33212.684       | 33265.36       
GTR+I+G         | 10              | -16597.396      | 33214.88         | 33214.793       | 33273.32       
GTR+I           | 9               | -16650.645      | 33319.36         | 33319.29        | 33371.965      
HKY+G           | 5               | -16669.652      | 33349.33         | 33349.305       | 33378.57       
HKY+I+G         | 6               | -16669.648      | 33351.33         | 33351.297       | 33386.414      
SYM+G           | 6               | -16678.79       | 33369.61         | 33369.58        | 33404.695      
SYM+I+G         | 7               | -16678.916      | 33371.875        | 33371.832       | 33412.8        
K80+G           | 2               | -16704.791      | 33413.586        | 33413.582       | 33425.29       
K80+I+G         | 3               | -16704.867      | 33415.742        | 33415.734       | 33433.293      
HKY+I           | 5               | -16719.797      | 33449.617        | 33449.594       | 33478.86       
SYM+I           | 6               | -16726.838      | 33465.707        | 33465.676       | 33500.793      
K80+I           | 2               | -16753.205      | 33510.414        | 33510.41        | 33522.117      
GTR             | 8               | -16780.023      | 33576.1          | 33576.047       | 33622.87       
HKY             | 4               | -16847.627      | 33703.27         | 33703.254       | 33726.664      
SYM             | 5               | -16859.496      | 33729.016        | 33728.992       | 33758.258      
K80             | 1               | -16890.553      | 33783.105        | 33783.105       | 33788.957      
JC+G            | 1               | -17262.95       | 34527.9          | 34527.9         | 34533.75       
JC+I+G          | 2               | -17263.041      | 34530.086        | 34530.082       | 34541.79       
F81+G           | 4               | -17261.77       | 34531.555        | 34531.54        | 34554.95       
F81+I+G         | 5               | -17261.764      | 34533.55         | 34533.527       | 34562.793      
JC+I            | 1               | -17309.895      | 34621.79         | 34621.79        | 34627.64       
F81+I           | 4               | -17308.727      | 34625.47         | 34625.453       | 34648.863      
F81             | 3               | -17438.21       | 34882.43         | 34882.42        | 34899.98       
JC              | 0               | -17443.926      | 34887.85         | 34887.85        | 34887.85       
